age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
27,Local-gov,201620,Assoc-acdm,12,Divorced,Sales,Own-child,Asian-Pac-Islander,Male,10969,0,59,Philippines,0
34,Private,144587,12th,8,Divorced,Protective-serv,Own-child,Asian-Pac-Islander,Male,95392,3,33,Cambodia,0
30,Self-emp-not-inc,121767,Some-college,9,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,475,2,35,Philippines,0
28,Private,34131,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,1802,44,34,Ireland,0
59,State-gov,114072,Assoc-acdm,10,Separated,Prof-specialty,Own-child,Asian-Pac-Islander,Male,86823,23,28,Yugoslavia,0
33,Private,240393,HS-grad,7,Divorced,Farming-fishing,Not-in-family,Asian-Pac-Islander,Male,82350,0,26,Philippines,0
21,Private,321452,9th,4,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Male,16590,35,35,United-States,0
69,Private,230873,Assoc-voc,10,Married-civ-spouse,Handlers-cleaners,Wife,Asian-Pac-Islander,Male,74085,5,54,Germany,0
53,Without-pay,115742,Assoc-acdm,9,Divorced,Prof-specialty,Own-child,Asian-Pac-Islander,Male,10901,0,25,Poland,1
58,Local-gov,209302,Assoc-acdm,12,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Male,15493,1,44,South,1
30,State-gov,440446,12th,7,Separated,Craft-repair,Wife,Asian-Pac-Islander,Female,39097,1,29,Cuba,0
57,Federal-gov,66410,Assoc-acdm,12,Married-civ-spouse,Tech-support,Wife,Asian-Pac-Islander,Male,21295,7,41,Cuba,1
30,Private,25284,HS-grad,10,Never-married,Farming-fishing,Own-child,Asian-Pac-Islander,Female,4074,0,30,Portugal,0
31,Private,235996,Assoc-voc,11,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Female,4602,93,48,Cuba,0
59,State-gov,187898,Assoc-acdm,11,Married-civ-spouse,Protective-serv,Wife,Asian-Pac-Islander,Male,1656,104,59,Cuba,0
28,Federal-gov,196635,HS-grad,8,Widowed,Sales,Own-child,Asian-Pac-Islander,Male,159,0,43,Portugal,0
24,Local-gov,114957,Assoc-acdm,12,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,4703,0,39,Cambodia,0
24,Private,163791,HS-grad,10,Never-married,Tech-support,Own-child,Asian-Pac-Islander,Male,18551,1,34,Philippines,0
19,Private,163492,Some-college,10,Never-married,Transport-moving,Own-child,Asian-Pac-Islander,Female,188,0,46,Cuba,0
54,State-gov,233039,Bachelors,14,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,77789,64,22,Hong,0
50,Private,94153,Assoc-acdm,11,Divorced,Protective-serv,Not-in-family,Asian-Pac-Islander,Male,74433,0,53,South,0
49,Private,277412,Assoc-voc,11,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Male,96641,0,51,United-States,0
28,Without-pay,167581,7th-8th,7,Married-spouse-absent,Other-service,Unmarried,Asian-Pac-Islander,Female,11244,2,25,Cuba,0
27,Private,164181,HS-grad,9,Divorced,Protective-serv,Husband,Asian-Pac-Islander,Male,1622,0,43,Cuba,0
43,Private,60232,Some-college,9,Married-civ-spouse,Priv-house-serv,Husband,Asian-Pac-Islander,Male,96216,0,39,United-States,1
57,Private,95915,Assoc-acdm,11,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Female,96125,0,50,Italy,0
33,Private,195011,HS-grad,10,Separated,Transport-moving,Unmarried,Asian-Pac-Islander,Female,45328,0,47,Hong,0
58,Private,69864,Masters,14,Divorced,Protective-serv,Wife,Asian-Pac-Islander,Female,34792,0,39,Philippines,1
46,Private,51278,1st-4th,3,Divorced,Handlers-cleaners,Own-child,Asian-Pac-Islander,Male,2510,0,20,Ecuador,0
27,Private,88819,Some-college,10,Divorced,Exec-managerial,Husband,Asian-Pac-Islander,Male,1,0,46,Portugal,0
26,Private,96984,Bachelors,13,Never-married,Protective-serv,Unmarried,Asian-Pac-Islander,Female,4,0,36,China,0
51,State-gov,217909,Bachelors,12,Divorced,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Male,50466,0,51,United-States,0
56,Local-gov,45617,Bachelors,11,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,95691,62,45,United-States,0
20,Private,176187,HS-grad,10,Never-married,Prof-specialty,Unmarried,Asian-Pac-Islander,Male,1565,1,39,Yugoslavia,0
44,Self-emp-not-inc,248981,12th,9,Married-civ-spouse,Exec-managerial,Own-child,Asian-Pac-Islander,Male,42495,1,31,Poland,0
49,Federal-gov,133958,Masters,16,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,65677,0,67,Portugal,1
26,Local-gov,188213,12th,8,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,704,14,58,Ecuador,0
61,State-gov,281373,HS-grad,9,Married-spouse-absent,Farming-fishing,Wife,Asian-Pac-Islander,Male,40188,1,40,Hungary,0
71,Private,86895,Bachelors,12,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Male,16319,0,41,Philippines,0
28,Local-gov,149425,Assoc-acdm,13,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Male,124,35,55,Cuba,0
46,Local-gov,300232,Masters,15,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,5634,0,32,Yugoslavia,0
27,Private,417533,Assoc-acdm,11,Separated,Farming-fishing,Own-child,Asian-Pac-Islander,Male,24688,0,28,Cuba,0
26,Private,305097,Bachelors,13,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,8177,0,32,Ireland,0
59,State-gov,237128,Bachelors,12,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Male,0,32,42,Portugal,0
28,Private,110329,Assoc-voc,11,Widowed,Prof-specialty,Own-child,Asian-Pac-Islander,Male,72083,0,50,Greece,1
27,Local-gov,118180,Bachelors,13,Divorced,Prof-specialty,Own-child,Black,Female,177,43,34,Cambodia,0
56,Local-gov,134119,Bachelors,14,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Male,1196,0,52,Greece,0
39,Local-gov,129047,Assoc-acdm,11,Never-married,Transport-moving,Wife,Asian-Pac-Islander,Female,58538,4,54,Cuba,0
43,Self-emp-not-inc,127494,12th,6,Never-married,Priv-house-serv,Wife,Asian-Pac-Islander,Female,3082,1,29,Cuba,0
46,Private,243999,Bachelors,12,Married-civ-spouse,Prof-specialty,Own-child,Asian-Pac-Islander,Male,40172,43,39,Philippines,1
53,Private,93871,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,Black,Male,975,1,47,United-States,1
23,Private,111015,Assoc-acdm,12,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,778,0,16,Poland,0
27,Self-emp-not-inc,131702,Some-college,10,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,498,3,33,Philippines,0
36,Without-pay,298839,HS-grad,8,Separated,Protective-serv,Wife,Black,Female,15,5,17,South,0
45,State-gov,363096,HS-grad,9,Divorced,Prof-specialty,Husband,Asian-Pac-Islander,Male,21,0,34,Cuba,1
45,State-gov,373929,Prof-school,16,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,392,0,46,Cambodia,1
52,State-gov,118601,Assoc-voc,11,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Male,44911,0,35,Philippines,0
41,Self-emp-not-inc,278265,Assoc-acdm,10,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,97943,18,36,South,0
51,Private,19917,Some-college,9,Separated,Craft-repair,Husband,Black,Male,8470,9,36,United-States,0
19,Self-emp-not-inc,270420,Bachelors,14,Divorced,Protective-serv,Own-child,Asian-Pac-Islander,Male,1000,0,63,Philippines,1
18,State-gov,134215,12th,9,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,156,0,23,Cambodia,0
67,Local-gov,372234,Masters,15,Married-civ-spouse,Prof-specialty,Wife,Black,Male,16264,9,39,Germany,1
59,State-gov,106395,HS-grad,9,Divorced,Prof-specialty,Husband,Asian-Pac-Islander,Male,496,0,54,United-States,0
27,Private,250989,Assoc-voc,10,Never-married,Prof-specialty,Husband,Asian-Pac-Islander,Female,28190,42,34,United-States,0
43,State-gov,310165,Bachelors,13,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,5110,20,51,Philippines,1
39,State-gov,191400,Bachelors,11,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,44442,2,43,Philippines,1
41,Self-emp-not-inc,306195,Masters,15,Divorced,Protective-serv,Wife,Asian-Pac-Islander,Male,11963,0,39,Greece,0
24,State-gov,197892,Masters,14,Never-married,Protective-serv,Own-child,Asian-Pac-Islander,Male,48,1,36,South,0
50,State-gov,131668,Assoc-voc,10,Married-civ-spouse,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,5868,0,45,Portugal,0
48,Private,153687,Masters,13,Widowed,Exec-managerial,Own-child,Asian-Pac-Islander,Male,7605,0,61,Cuba,1
45,State-gov,86399,1st-4th,3,Never-married,Prof-specialty,Own-child,Black,Female,17431,4,25,Cuba,0
41,Private,237552,HS-grad,8,Divorced,Protective-serv,Own-child,Asian-Pac-Islander,Male,61060,0,65,Ecuador,1
41,Local-gov,13769,Bachelors,12,Never-married,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Female,35661,10,25,Portugal,0
22,Private,464506,Bachelors,13,Never-married,Prof-specialty,Wife,Asian-Pac-Islander,Male,9025,0,24,Portugal,1
55,State-gov,241411,Assoc-acdm,11,Married-civ-spouse,Protective-serv,Wife,Asian-Pac-Islander,Male,92295,45,33,Portugal,1
28,Private,46074,HS-grad,8,Divorced,Adm-clerical,Other-relative,Asian-Pac-Islander,Male,14,0,51,Cuba,0
28,State-gov,258150,Masters,13,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Male,2502,0,55,Greece,0
73,State-gov,335984,Assoc-acdm,10,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Male,4422,0,27,Poland,1
28,Private,207717,Assoc-voc,10,Never-married,Transport-moving,Own-child,Asian-Pac-Islander,Male,34,0,48,Poland,0
19,Private,44831,Assoc-acdm,12,Never-married,Transport-moving,Own-child,Asian-Pac-Islander,Male,60629,0,34,Cuba,0
57,Private,232860,Assoc-voc,11,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,65405,0,42,Germany,0
20,State-gov,88611,Some-college,9,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,2533,0,48,United-States,0
26,Without-pay,107862,11th,6,Separated,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,3784,0,30,United-States,0
55,Private,25235,HS-grad,8,Married-civ-spouse,Farming-fishing,Own-child,Asian-Pac-Islander,Male,36895,0,36,Ireland,0
20,Private,247706,9th,4,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,8126,0,44,Jamaica,0
31,State-gov,314348,Bachelors,12,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,88505,0,65,Poland,0
37,Private,151185,Assoc-acdm,11,Separated,Prof-specialty,Wife,Black,Female,88362,0,58,Philippines,0
30,Private,143629,Bachelors,12,Never-married,Protective-serv,Own-child,Asian-Pac-Islander,Female,26918,1,22,Portugal,0
30,State-gov,98240,Some-college,9,Widowed,Prof-specialty,Wife,Asian-Pac-Islander,Male,33680,0,32,South,0
45,Self-emp-inc,125784,Assoc-acdm,12,Divorced,Protective-serv,Husband,Asian-Pac-Islander,Male,10798,7,50,Philippines,0
35,Federal-gov,90709,HS-grad,8,Never-married,Tech-support,Wife,Black,Female,10572,0,28,Ireland,0
24,Private,249331,Some-college,9,Divorced,Tech-support,Wife,Asian-Pac-Islander,Male,65081,0,29,Poland,0
19,Private,233997,12th,8,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Female,14598,1,35,Poland,0
37,State-gov,142068,Some-college,10,Divorced,Prof-specialty,Own-child,Asian-Pac-Islander,Male,22,3,43,Yugoslavia,0
22,Private,196803,HS-grad,8,Divorced,Farming-fishing,Wife,Asian-Pac-Islander,Female,72,0,25,Poland,0
35,State-gov,251203,Masters,15,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,50222,0,45,Germany,1
46,Private,129765,Bachelors,13,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Male,2427,0,39,Cambodia,0
33,Private,143681,Assoc-acdm,11,Never-married,Priv-house-serv,Wife,Asian-Pac-Islander,Male,1202,0,44,Cuba,1
50,Federal-gov,36370,5th-6th,6,Married-civ-spouse,Protective-serv,Wife,Asian-Pac-Islander,Male,83186,25,30,Cambodia,1
38,State-gov,178282,Some-college,10,Divorced,Prof-specialty,Husband,Asian-Pac-Islander,Male,3534,71,45,South,0
42,Private,206185,12th,7,Divorced,Transport-moving,Other-relative,Black,Female,43896,0,43,Ecuador,0
34,Local-gov,265701,Assoc-acdm,11,Never-married,Exec-managerial,Wife,Asian-Pac-Islander,Male,14921,53,53,South,1
41,Private,136868,Assoc-acdm,12,Divorced,Exec-managerial,Wife,Amer-Indian-Eskimo,Female,10899,0,33,United-States,0
27,State-gov,440418,Bachelors,13,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,36,0,39,Greece,0
22,Private,156864,Bachelors,13,Never-married,Prof-specialty,Unmarried,Asian-Pac-Islander,Male,22433,0,33,Portugal,1
50,Private,349339,Assoc-voc,10,Separated,Prof-specialty,Husband,Asian-Pac-Islander,Female,178,7,25,Yugoslavia,0
33,State-gov,204334,HS-grad,9,Divorced,Other-service,Husband,Asian-Pac-Islander,Male,78008,6,51,Poland,0
36,Private,248709,12th,7,Never-married,Craft-repair,Husband,Asian-Pac-Islander,Female,62760,0,28,Jamaica,0
21,State-gov,297912,Assoc-voc,11,Never-married,Protective-serv,Unmarried,Black,Male,31177,0,51,South,1
30,Self-emp-not-inc,165423,Assoc-acdm,12,Widowed,Exec-managerial,Own-child,Asian-Pac-Islander,Male,30305,17,31,Cuba,1
27,Self-emp-not-inc,348767,Some-college,9,Widowed,Prof-specialty,Wife,Asian-Pac-Islander,Male,0,0,45,South,1
52,Private,171422,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,43251,0,59,Philippines,0
42,Self-emp-not-inc,185261,Assoc-acdm,11,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,91162,2,65,Cuba,1
44,Without-pay,89536,9th,5,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,1761,1,60,United-States,0
36,Private,95104,12th,7,Separated,Other-service,Own-child,Asian-Pac-Islander,Male,1803,0,33,South,0
42,Self-emp-not-inc,143524,HS-grad,9,Divorced,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,19,0,48,Portugal,0
64,Private,154674,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,76662,0,46,Yugoslavia,1
22,Private,258018,Bachelors,13,Never-married,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,40874,0,46,Cuba,0
17,Private,115634,Some-college,10,Never-married,Other-service,Own-child,Asian-Pac-Islander,Male,67069,4,46,Portugal,0
49,Federal-gov,98922,Bachelors,13,Married-spouse-absent,Protective-serv,Husband,Asian-Pac-Islander,Male,41507,2,50,Yugoslavia,1
43,Without-pay,176668,Bachelors,12,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,878,0,27,Yugoslavia,1
79,Local-gov,76882,Some-college,9,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Male,20628,10,51,United-States,0
28,Private,337156,Assoc-acdm,12,Never-married,Exec-managerial,Wife,Asian-Pac-Islander,Male,10427,0,46,Portugal,0
51,Private,64910,9th,5,Married-civ-spouse,Protective-serv,Unmarried,Asian-Pac-Islander,Male,5733,48,30,United-States,0
47,Private,134091,Assoc-acdm,10,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,8373,1,47,South,0
28,Local-gov,266521,Assoc-acdm,11,Divorced,Exec-managerial,Other-relative,Asian-Pac-Islander,Male,96410,8,31,Jamaica,1
27,Local-gov,105836,Bachelors,13,Married-spouse-absent,Craft-repair,Wife,Asian-Pac-Islander,Male,76555,8,58,Cambodia,1
52,Self-emp-not-inc,150247,Prof-school,16,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Male,77475,1,53,Portugal,0
41,Private,239280,12th,8,Divorced,Transport-moving,Wife,Asian-Pac-Islander,Male,43293,0,47,United-States,0
40,Local-gov,47302,12th,9,Married-civ-spouse,Protective-serv,Own-child,Black,Male,68613,0,31,Cambodia,0
29,Without-pay,231340,12th,7,Separated,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,499,0,35,South,0
35,Private,78117,Bachelors,14,Divorced,Transport-moving,Unmarried,Asian-Pac-Islander,Female,8112,0,49,England,0
32,State-gov,29282,Some-college,10,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,97001,1,47,Portugal,0
22,State-gov,322199,12th,8,Widowed,Craft-repair,Husband,Asian-Pac-Islander,Male,23461,4,20,Portugal,0
42,Federal-gov,337984,Assoc-acdm,11,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Male,29054,0,59,South,1
63,Local-gov,68399,Some-college,10,Married-spouse-absent,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,59228,38,30,Portugal,0
30,Private,55514,HS-grad,9,Separated,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Male,41013,0,38,Yugoslavia,0
41,Private,288363,Assoc-acdm,12,Divorced,Transport-moving,Wife,Asian-Pac-Islander,Female,31670,0,39,Hungary,1
37,Private,377906,Bachelors,12,Never-married,Transport-moving,Own-child,Asian-Pac-Islander,Female,48305,0,38,Greece,0
28,Federal-gov,87893,Assoc-voc,10,Never-married,Protective-serv,Not-in-family,Asian-Pac-Islander,Female,477,92,49,United-States,0
38,State-gov,93764,Bachelors,12,Divorced,Prof-specialty,Own-child,Asian-Pac-Islander,Male,1223,1,41,Philippines,1
48,State-gov,160164,Masters,14,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Male,26084,0,49,Ireland,1
47,Private,193597,9th,5,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Female,8844,0,37,South,0
39,State-gov,214104,Masters,15,Never-married,Protective-serv,Own-child,Asian-Pac-Islander,Male,445,1,26,Poland,0
27,Private,140560,12th,7,Widowed,Protective-serv,Own-child,Asian-Pac-Islander,Female,5216,2,42,Ecuador,0
25,Private,408807,12th,8,Divorced,Protective-serv,Not-in-family,Asian-Pac-Islander,Male,30798,69,35,South,0
39,Private,186329,Assoc-acdm,11,Divorced,Sales,Not-in-family,Asian-Pac-Islander,Male,89642,0,41,Greece,0
26,Private,278513,HS-grad,7,Married-spouse-absent,Craft-repair,Wife,Asian-Pac-Islander,Male,11711,2,43,Poland,0
27,Private,213671,Assoc-acdm,10,Separated,Prof-specialty,Wife,Asian-Pac-Islander,Male,13997,24,45,Cambodia,0
23,Private,195453,Assoc-acdm,11,Divorced,Sales,Wife,Asian-Pac-Islander,Female,31566,0,29,Greece,0
31,Local-gov,231162,12th,8,Divorced,Prof-specialty,Own-child,Asian-Pac-Islander,Female,7095,35,26,Poland,0
64,Private,151774,HS-grad,10,Divorced,Handlers-cleaners,Wife,Asian-Pac-Islander,Female,13,0,20,Greece,0
60,Private,113112,HS-grad,9,Married-spouse-absent,Prof-specialty,Wife,Asian-Pac-Islander,Male,9425,0,60,South,0
71,Private,153870,Bachelors,11,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,2243,8,37,Cuba,0
35,Private,213420,Assoc-voc,10,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,249,0,23,Hungary,0
35,Private,108001,HS-grad,10,Divorced,Protective-serv,Wife,Asian-Pac-Islander,Female,50724,0,24,Hungary,0
36,Private,115001,Assoc-acdm,11,Widowed,Transport-moving,Wife,Asian-Pac-Islander,Male,13932,0,45,South,0
31,Private,263249,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Male,1303,8,34,Philippines,0
34,Private,118571,Bachelors,13,Divorced,Adm-clerical,Husband,Asian-Pac-Islander,Male,89930,0,40,Cambodia,1
34,Local-gov,366131,Assoc-acdm,12,Never-married,Tech-support,Husband,Amer-Indian-Eskimo,Male,48,0,40,Cuba,0
18,State-gov,392194,Assoc-acdm,11,Never-married,Protective-serv,Own-child,Asian-Pac-Islander,Male,1,0,33,Poland,0
24,Local-gov,246352,Assoc-voc,10,Widowed,Prof-specialty,Wife,Asian-Pac-Islander,Male,6686,0,51,Yugoslavia,1
56,Private,169343,HS-grad,9,Divorced,Sales,Wife,Asian-Pac-Islander,Female,32810,0,35,Cuba,0
40,Private,220037,Some-college,10,Never-married,Adm-clerical,Wife,Asian-Pac-Islander,Male,12259,0,48,South,0
26,Local-gov,130725,Doctorate,16,Never-married,Exec-managerial,Husband,Asian-Pac-Islander,Male,83416,19,55,Philippines,1
39,Private,29103,1st-4th,5,Divorced,Prof-specialty,Own-child,Asian-Pac-Islander,Female,13846,0,50,Cambodia,0
49,Federal-gov,186429,Some-college,9,Married-civ-spouse,Protective-serv,Wife,Asian-Pac-Islander,Male,76532,0,48,Cuba,1
32,Self-emp-not-inc,187076,Bachelors,12,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Male,87889,6,56,Philippines,0
38,Local-gov,77248,12th,8,Separated,Craft-repair,Own-child,Asian-Pac-Islander,Female,77660,0,38,South,0
18,Local-gov,159590,HS-grad,9,Never-married,Tech-support,Own-child,Asian-Pac-Islander,Female,54011,0,37,Cuba,0
20,Private,262831,10th,5,Separated,Protective-serv,Own-child,Asian-Pac-Islander,Male,16767,0,38,United-States,1
44,Local-gov,143633,Some-college,10,Never-married,Protective-serv,Unmarried,Asian-Pac-Islander,Male,3012,1,50,Ecuador,0
37,State-gov,152646,Bachelors,14,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Male,15302,2,39,Cambodia,0
30,Self-emp-inc,191961,HS-grad,10,Divorced,Protective-serv,Own-child,Black,Male,4,0,35,United-States,0
45,Private,165270,10th,5,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,59196,5,41,United-States,0
30,Private,153393,HS-grad,8,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,94,0,30,Cuba,0
56,Self-emp-not-inc,406314,Masters,14,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Male,99682,0,48,Cambodia,0
33,Without-pay,143652,Bachelors,13,Married-civ-spouse,Prof-specialty,Own-child,Asian-Pac-Islander,Male,96966,64,34,Portugal,1
24,State-gov,461214,Bachelors,13,Never-married,Prof-specialty,Wife,Asian-Pac-Islander,Male,2035,4,61,Ireland,0
53,Local-gov,115109,HS-grad,9,Widowed,Machine-op-inspct,Own-child,Asian-Pac-Islander,Female,41842,0,16,United-States,0
73,Local-gov,180830,Bachelors,13,Married-AF-spouse,Prof-specialty,Wife,Amer-Indian-Eskimo,Male,94298,0,40,Hungary,1
57,Self-emp-not-inc,142628,Assoc-acdm,11,Divorced,Sales,Unmarried,Asian-Pac-Islander,Male,10193,5,36,Poland,0
60,Private,450404,Bachelors,12,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,48540,0,27,United-States,1
42,Federal-gov,303673,Assoc-acdm,12,Never-married,Prof-specialty,Husband,Asian-Pac-Islander,Male,81413,0,63,United-States,0
37,Private,353767,Some-college,10,Never-married,Protective-serv,Husband,Black,Male,75,0,48,Germany,0
43,Private,131699,Bachelors,13,Married-civ-spouse,Protective-serv,Wife,Asian-Pac-Islander,Male,51239,0,49,Cuba,0
27,Federal-gov,395070,5th-6th,6,Separated,Prof-specialty,Own-child,Black,Male,21288,0,53,Cuba,0
29,Private,155363,Bachelors,13,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,95517,0,47,Philippines,0
49,Private,240899,Assoc-voc,11,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,18148,3,62,Cambodia,1
30,Without-pay,132976,HS-grad,7,Widowed,Adm-clerical,Husband,Asian-Pac-Islander,Male,677,0,57,Portugal,0
63,Local-gov,176559,Bachelors,12,Never-married,Prof-specialty,Wife,Asian-Pac-Islander,Female,16421,0,32,Philippines,0
31,State-gov,45802,12th,9,Never-married,Tech-support,Own-child,Asian-Pac-Islander,Female,7675,0,34,Philippines,0
35,State-gov,642321,Assoc-voc,10,Married-civ-spouse,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,35,0,42,Portugal,0
27,Private,372848,Bachelors,12,Divorced,Protective-serv,Not-in-family,Asian-Pac-Islander,Male,45198,16,47,Portugal,1
